"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"PINCKNEY COMMUNITY PUBLIC LIBRARY",48169,11503,1,0,1.75,1.75,4.7,6.45,709370,8435,0,756738,282960,57161,575756,0,19291,2600,227655,16112,88929,100835,814,12791,73008,0,-83.946,42.45781,191224
"PITTSFORD PUBLIC LIBRARY",49271,4105,1,0,0,0.7,0.25,0.95,66870,4129,0,72788,-9,12095,75290,0,0,1352,3383,3177,8033,8920,17,126,647,150,-84.4718,41.85914,45749
"PLYMOUTH DISTRICT LIBRARY",48170,36656,1,0,13.28,13.28,30.28,43.56,3533135,23977,0,3743054,1720200,490909,3619668,0,0,3301,371594,60067,796351,849174,970,19526,36489,156150,-83.4678,42.37203,1753893
"PONTIAC PUBLIC LIBRARY",48342,59515,1,0,5,6,7.25,13.25,833621,28253,7293,916596,404268,75420,1033667,0,21370,2700,178795,11773,67461,72132,673,4597,69412,0,-83.2892,42.63716,1259201
"PORT AUSTIN TOWNSHIP LIBRARY",48467,5033,1,0,0,0.78,0.4,1.18,105488,3291,0,116249,-9,31751,86801,88100,5450,1876,25600,640,14650,14650,11,184,3500,1200,-82.9916,44.04561,31166
"PORTAGE LAKE DISTRICT LIBRARY",49931,12798,1,0,1,7.5,2.5,10,597284,9386,0,674086,275983,70287,579557,0,14124,2588,88872,5783,128745,128745,665,14870,11263,13137,-88.5681,47.12215,36219
"PORTAGE DISTRICT LIBRARY",49002,52170,1,0,11.69,14.29,16.83,31.12,3343077,34124,0,3655736,1325323,489656,2957553,0,27356,3415,714828,39400,818345,863583,634,35177,35397,91215,-85.5886,42.20348,264870
"PORTLAND DISTRICT LIBRARY",48875,13912,1,0,1.95,1.95,5.03,6.98,401816,9645,0,441813,225147,51258,449974,243269,225571,2858,65301,14258,74305,81117,323,5859,6958,4458,-84.9047,42.86803,64210
"PRESQUE ISLE DISTRICT LIBRARY",49779,14878,1,4,1,9,7.08,16.08,712309,13783,0,802184,435108,59369,687378,11512,43891,6264,100587,6386,79438,90376,582,15724,7499,7937,-83.8146,45.4199,12738
"PUTNAM DISTRICT LIBRARY",49073,6847,1,0,0,1.1,1.68,2.78,111972,4747,0,139222,72179,6905,133893,0,0,1838,15111,1290,18632,18882,139,2071,3431,940,-85.0935,42.60542,61157
"RAUCHHOLZ MEMORIAL LIBRARY",48626,6240,1,0,0,1.13,1.75,2.88,137941,2054,0,184522,77412,13239,140801,1151651,0,2049,14924,2000,29805,29805,110,1680,2090,1340,-84.2297,43.42388,190800
"RAWSON MEMORIAL LIBRARY",48726,8891,1,0,1.9,3.93,1,4.93,257866,5816,0,263682,182015,27489,284366,0,3686,3120,38107,4841,37475,37475,297,4469,4496,3270,-83.1747,43.59978,52516
"READING COMMUNITY LIBRARY",49274,5376,1,0,0,0.93,0.68,1.61,103769,3727,0,114977,-9,8100,72268,0,0,1698,10384,480,11770,13221,135,2520,2783,1870,-84.7479,41.83979,45749
"REED CITY AREA DISTRICT LIBRARY",49677,8543,1,0,0,1.69,1.09,2.78,199884,6775,0,206659,78681,11986,158622,38109,27454,1856,23675,9678,23678,24816,92,1160,4511,7500,-85.5098,43.86497,23341
"REPUBLIC-MICHIGAMME SCHOOL/ PUBLIC LIBRARY",49879,1508,1,0,0,0.45,0,0.45,32117,1046,0,33541,-9,3883,33541,0,0,520,4058,180,2324,2324,0,0,256,145,-87.9824,46.36996,66516
"TIMOTHY C. HAUENSTEIN REYNOLDS TOWNSHIP LIBRARY",49329,9714,1,0,0,2,1.53,3.53,272581,7008,0,311180,131618,33608,256516,0,0,2248,41667,2958,50619,50619,213,7109,7106,18053,-85.4648,43.39791,63968
"RICHFIELD TOWNSHIP PUBLIC LIBRARY",48656,3731,1,0,0,0.7,0.68,1.38,48764,2440,1550,60489,-9,9288,56425,0,0,2132,11524,2983,14749,14749,70,1328,2576,850,-84.4101,44.35486,23884
"RICHLAND COMMUNITY LIBRARY",49083,7580,1,0,0.63,3.33,2.75,6.08,337931,31284,0,376375,180931,59717,418301,0,17530,1989,46011,2895,90547,90939,305,7108,2053,5669,-85.4557,42.37706,264870
"RICHLAND TOWNSHIP LIBRARY",48891,3674,1,0,0,0.8,1.15,1.95,65748,4343,0,78005,-9,16137,77727,0,5356,1426,15075,2708,10663,10663,40,657,2440,866,-84.9084,43.39899,63968
"LOIS WAGNER MEMORIAL LIBRARY",48062,11581,1,0,1,3.5,0.8,4.3,268917,8029,0,290404,170899,9700,322638,0,0,2288,19614,4953,27911,27911,167,2833,7574,3013,-82.762,42.80898,874759
"RICHMOND TOWNSHIP LIBRARY",49871,882,1,0,0,0.65,0,0.65,30768,577,0,33985,-9,7502,33985,0,0,1270,3487,597,2228,2228,35,563,1742,141,-87.5934,46.44092,66516
"RIVERVIEW PUBLIC LIBRARY",48193,12486,1,0,1,1,3.38,4.38,332033,0,0,344118,123138,36701,320961,0,71388,2040,25398,2826,46335,46335,156,2420,3536,2677,-83.1959,42.17024,1753893
"ROCHESTER HILLS PUBLIC LIBRARY",48307,100485,1,0,23.48,23.53,35.73,59.26,4093037,107113,0,4553449,2495926,717083,4553449,0,0,5876,552380,69271,1997191,2050535,920,34117,58551,169492,-83.1306,42.6832,1259201
"ROMEO DISTRICT LIBRARY",48095,33839,1,1,9,9,9.05,18.05,2161219,23460,0,2245772,896543,198101,1827641,0,96021,5972,236914,20216,319670,319670,455,7362,14239,39625,-83.0157,42.7772,874759
"ROSEVILLE PUBLIC LIBRARY",48066,47299,1,0,8.03,8.03,6.26,14.29,1336388,35146,1500,1426284,699953,75846,1312980,0,157853,2740,103077,20619,139792,143651,297,2841,23864,41675,-82.925,42.51547,874759
"ROYAL OAK PUBLIC LIBRARY",48067,57236,1,0,10.4,10.4,12.8,23.2,2384003,39681,0,2499017,911340,259940,2512509,0,0,3044,193697,24262,367988,399834,499,20780,36139,22138,-83.1428,42.48981,1259201
"ROYAL OAK TOWNSHIP PUBLIC LIBRARY",48220,2419,1,0,0.51,0.56,0.27,0.83,65320,1989,0,68335,-9,10598,85738,0,19214,1008,2871,1728,813,813,113,449,2036,450,-83.1587,42.44931,1259201
"PUBLIC LIBRARIES OF SAGINAW",48607,124690,1,3,9.63,9.63,32.5,42.13,3207758,91157,0,3407518,1801556,342246,3960286,0,0,9600,310137,50514,289123,571668,688,15607,68787,39255,-83.9361,43.43027,190800
"SALINE DISTRICT LIBRARY",48176,26376,1,0,7.25,7.25,13.75,21,2253362,119648,0,2450812,977775,194047,3104139,0,0,3275,175394,15176,329456,404791,677,14262,21772,49214,-83.7743,42.17647,370963
"SANDUSKY DISTRICT LIBRARY",48471,7103,1,0,0,1,3.81,4.81,268412,4646,0,303116,123307,45285,278714,0,0,2476,36000,2078,54477,64927,28,1350,5584,99063,-82.8279,43.42134,41182
"SANILAC DISTRICT LIBRARY",48469,4375,1,0,0.75,1.75,1.58,3.33,153105,2862,1440,175094,92004,26671,169379,0,4568,1897,27781,7008,75286,110524,70,970,3800,17857,-82.5495,43.43068,41182
"SARANAC PUBLIC LIBRARY",48881,10017,1,1,1,1.93,3.63,5.56,380348,8869,0,389217,175000,58000,385700,0,15000,3848,60999,4500,57488,57488,176,3671,1379,14954,-85.2133,42.93057,64210
"SAUGATUCK-DOUGLAS DISTRICT LIBRARY",49406,5101,1,0,0.88,0.88,3.29,4.17,294157,7111,0,334417,144207,37140,314386,275,0,2381,61161,2435,56196,66104,335,6638,9545,16038,-86.2037,42.64363,117327
"SCHOOLCRAFT COMMUNITY LIBRARY",49087,3775,1,0,1,2.43,1.6,4.03,166696,3914,0,194606,120259,12620,187675,2576,2212,1821,12758,2005,18685,19225,177,5582,917,1102,-85.6396,42.11661,264870
"SEVILLE TOWNSHIP PUBLIC LIBRARY",48877,3138,1,0,0,0.63,0.93,1.56,75279,2052,0,77331,-9,9330,66191,0,5636,1716,6330,1002,10732,10757,72,777,1643,3050,-84.8359,43.38935,40599
"SHELBY TOWNSHIP LIBRARY",48316,73804,1,0,4.69,4.94,7.3,12.24,1076209,48275,0,1157757,608039,157454,1016897,12000,0,2937,166811,22849,234674,234674,491,15358,19997,41926,-83.0339,42.6741,874759
"SHELBY AREA DISTRICT LIBRARY",49455,11377,1,0,0,0.88,4.85,5.73,242260,7441,1112,276584,177832,24549,294138,0,2851,2704,25823,4677,48695,48695,63,745,7030,0,-86.3623,43.61234,26625
"COMMUNITY DISTRICT LIBRARY",48817,28263,0,7,1,5.55,2.2,7.75,524370,20726,0,545096,282076,63492,527000,0,39447,10660,82792,6207,94398,94398,1180,8968,17781,3452,-84.1162,42.98186,68192
"SLEEPER PUBLIC LIBRARY",48475,3428,1,0,0,1.28,0.1,1.38,62280,2242,0,98044,-9,8539,83282,4082,5687,1986,15892,1461,20796,20979,30,456,2711,896,-82.9307,43.71013,31166
"SODUS TOWNSHIP LIBRARY",49126,1932,1,0,0,0.68,0.25,0.93,45825,1450,0,51681,-9,5300,52647,0,0,1400,3090,677,7779,7779,46,193,466,772,-86.3664,42.04343,154141
"SOMERSET TOWNSHIP LIBRARY",49282,4623,1,0,0.4,1.7,1.61,3.31,175782,5151,0,193315,102802,25852,205868,0,20181,2288,24895,3128,34930,34933,168,2729,3539,2413,-84.4064,42.04944,45749
"SOUTH HAVEN MEMORIAL LIBRARY",49090,8386,1,0,1.3,6.1,1.03,7.13,334596,8538,0,353179,212172,29171,357920,93458,2955,2808,66427,7118,55715,55715,108,2739,12548,5436,-86.2711,42.40236,75448
