"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"WEST BRANCH DISTRICT LIBRARY",48661,9138,1,0,1,1,3.25,4.25,280498,6335,0,292725,141807,21209,295994,0,0,2236,51000,1420,57839,57839,214,5918,19000,364,-84.2397,44.27661,20952
"WEST IRON DISTRICT LIBRARY",49935,7370,1,0,0,1,5.58,6.58,425883,8878,0,449233,276140,52700,488039,3048,52428,2518,52929,5252,61755,62035,257,7142,6242,8779,-88.6375,46.09149,11117
"WHEATLAND TOWNSHIP LIBRARY",49340,2913,1,0,0,1.33,0,1.33,73783,2019,0,81190,-9,9021,58435,0,0,1588,4952,2483,3633,3633,8,104,728,320,-85.1472,43.59756,43545
"WHITE LAKE TOWNSHIP LIBRARY",48383,30019,1,0,6.6,8.33,5.75,14.08,1137779,19635,0,1209792,597892,164539,1109104,0,9933,2808,76567,9536,184013,194767,431,13315,15439,4229,-83.5117,42.64928,1259201
"WHITE PIGEON TOWNSHIP LIBRARY",49099,5240,1,0,0,3.16,0,3.16,205901,3632,0,236312,136593,16141,216552,0,78133,2616,23853,1867,30472,30472,144,3205,6436,2749,-85.6431,41.79825,61043
"WHITE PINE DISTRICT LIBRARY",48888,10014,1,0,0.75,0.75,2.88,3.63,186155,12229,0,234007,112851,30438,222293,0,7377,2092,29897,7155,35010,35010,86,3117,2578,241,-85.0812,43.29137,63968
"WHITEFISH TOWNSHIP COMMUNITY LIBRARY",49768,575,1,0,0.55,0.55,0.35,0.9,43460,427,0,49955,-9,13942,50061,0,809,1560,5240,711,6967,7974,49,469,568,152,-85.0387,46.61194,37517
"WHITE LAKE COMMUNITY LIBRARY",49461,11811,1,0,1,4.63,2.58,7.21,321681,7726,976,370952,204357,28413,367110,127145,154716,2693,74266,3389,119991,119991,318,7333,8288,12268,-86.3428,43.38553,173588
"WILLARD PUBLIC LIBRARY",49017,89779,1,1,11,19,28.3,47.3,4608398,111366,0,6246148,2353039,1024485,5944839,0,128923,6311,505969,35458,892586,1027127,569,21985,79392,147433,-85.1803,42.32118,134487
"AITKIN MEMORIAL DISTRICT LIBRARY",48422,7410,1,0,1,1.73,1.4,3.13,241878,5137,0,265060,94143,36492,214821,0,25486,2360,24810,8532,25231,28717,238,1452,6320,32321,-82.622,43.28069,41182
"DOROTHY HULL LIBRARY - WINDSOR TOWNSHIP",48821,6838,1,0,1.28,1.28,0.6,1.88,89845,4472,0,101698,-9,15822,103650,0,1884,1846,9954,2006,13359,13410,18,123,1481,1047,-84.6547,42.64633,109826
"WIXOM PUBLIC LIBRARY",48393,13498,1,0,5.43,5.53,4.45,9.98,751280,9898,0,877344,355189,90305,848529,0,0,2724,80813,6214,145884,145884,275,5953,27353,9870,-83.5329,42.52438,1259201
"WOLVERINE COMMUNITY LIBRARY",49799,2738,1,0,0,0.88,0.35,1.23,77348,1898,0,79246,-9,13352,61411,0,6628,1820,9732,306,8109,8109,14,427,1426,0,-84.6043,45.27316,25413
"GEORGE W. SPINDLER MEMORIAL LIBRARY",48897,2047,1,0,0,0.5,0.1,0.6,24179,0,0,28443,-9,7787,37401,0,0,1040,2322,245,3136,3136,39,224,129,1667,-85.1341,42.72885,61157
"YPSILANTI DISTRICT LIBRARY",48197,82974,1,2,18.5,18.5,26.3,44.8,3289786,60847,89412,3552526,1799519,306496,3563482,0,182606,9256,372038,37949,627962,694217,3302,62578,164757,29291,-83.616,42.20783,370963
"HOWARD MILLER LIBRARY",49464,22115,1,0,1,7.58,1.4,8.98,726194,23633,0,824455,337421,77698,776385,37672,57918,2688,93815,6920,238390,240948,293,6687,6045,31812,-86.014,42.81193,290494
"NORTHFIELD TOWNSHIP AREA LIBRARY",48189,8354,1,0,0,3,3.31,6.31,537596,7500,0,560063,272523,28371,438863,0,40432,2652,25301,7292,43983,48941,290,5262,21301,44876,-83.7645,42.42261,370963
"REESE UNITY DISTRICT LIBRARY",48757,5523,1,0,0.88,2.85,0.03,2.88,256977,3613,0,264962,89329,27978,156805,31528,13999,2392,8476,2240,24401,24401,108,1034,1558,412,-83.6964,43.44914,52516
"CLINTON-MACOMB PUBLIC LIBRARY",48038,169833,1,2,24.63,24.63,35.5,60.13,7587653,111087,0,7787764,2631297,979641,6087679,0,573960,10608,682624,126054,1838124,1895939,1430,74685,109563,48394,-82.9321,42.59889,874759
"MASON COUNTY DISTRICT LIBRARY",49431,28646,1,1,1,2.88,13.43,16.31,1048887,18737,22412,1194385,515099,110073,1064577,0,48076,6286,197664,16115,273697,276764,1482,27568,60388,60744,-86.4461,43.95559,29100
"REDFORD TOWNSHIP DISTRICT LIBRARY",48240,48362,1,0,7.48,9.5,11.95,21.45,2080241,31633,0,2286872,809216,193869,1740546,0,92507,2904,161525,15972,226504,271217,363,8967,34989,122374,-83.2895,42.4142,1753893
"WAYNE PUBLIC LIBRARY",48184,17593,1,0,2.5,2.5,3.89,6.39,378548,12901,3899,419752,202455,21911,461054,0,0,1589,39520,3852,35977,35977,45,1190,11555,4308,-83.3838,42.28055,1753893
"ADDISON TOWNSHIP PUBLIC LIBRARY",48367,6351,1,0,1.4,1.4,2.4,3.8,260885,4657,2489,293344,109033,27539,238936,0,0,2704,21973,1988,31441,33660,146,1161,734,1252,-83.1475,42.82132,1259201
"ADRIAN DISTRICT LIBRARY",49221,21133,1,0,3,3,5.9,8.9,931554,7692,0,959174,338187,112621,822447,0,54612,2760,114473,9091,69698,76061,204,6022,18030,19832,-84.0354,41.89857,98266
"ALANSON AREA PUBLIC LIBRARY",49706,11600,1,0,1,1,1.45,2.45,84655,4694,0,112586,68825,12345,124262,0,2429,2184,16059,2017,17408,18707,39,471,1864,698,-84.7899,45.44024,33308
"ALBION DISTRICT LIBRARY",49224,11569,1,0,1.75,1.75,7.43,9.18,694929,44534,0,789291,298423,23684,612450,0,0,2214,58642,2804,58706,58706,540,7514,15596,4103,-84.7529,42.24205,134487
"ALCONA COUNTY LIBRARY",48740,9706,1,3,1,2.75,5.73,8.48,439103,6349,0,478888,261412,50764,478888,0,68704,5907,52365,3173,60687,60687,320,3934,7011,19152,-83.2995,44.65644,10362
"ALLEGAN DISTRICT LIBRARY",49010,17401,1,0,2.8,4.8,4.13,8.93,1128796,12064,0,1156756,316944,51692,522219,2103112,2048550,3108,74478,8712,64230,70405,252,4901,29665,13600,-85.8523,42.52778,117327
"ALLENDALE TOWNSHIP LIBRARY",49401,28283,1,0,2,4.2,0.7,4.9,346421,20341,0,384268,164801,91345,384268,0,14669,3120,89094,6674,171830,177772,422,9828,9316,12973,-85.9385,42.97373,290494
"ALMA PUBLIC LIBRARY",48801,11902,1,0,2,4,1.13,5.13,535550,8251,0,575181,235193,75045,589697,0,0,3137,97376,16508,47710,51909,3292,30814,15722,78575,-84.6556,43.37891,40599
"ALPENA COUNTY LIBRARY",49707,29598,1,0,1,8.26,7.93,16.19,1057214,30277,1600,1170972,546058,74800,1023704,4920,96756,3332,124845,10808,94074,114774,432,9407,10908,4629,-83.431,45.06201,28360
"WILLIAM P. FAUST PUBLIC LIBRARY OF WESTLAND",48185,84094,1,0,12.9,12.9,24.03,36.93,3047327,63347,0,3255151,1361692,251699,2886379,0,72821,3458,202360,25134,247838,254796,899,23187,76594,86012,-83.3996,42.32923,1753893
"CHESTERFIELD TOWNSHIP LIBRARY",48051,43381,1,0,5.07,5.12,8.11,13.23,1044945,28375,0,1237696,499224,108213,1110485,12386,44999,2602,79131,18474,171626,171846,388,10570,8661,20139,-82.8394,42.67076,874759
"CURTIS TOWNSHIP LIBRARY",48737,1236,1,0,0,1.15,0,1.15,39224,808,1223,44133,-9,4283,41984,0,2014,1150,3971,679,5995,5995,7,511,1081,2316,-83.7241,44.56063,10362
"MCBAIN COMMUNITY LIBRARY",49657,5841,1,0,0,0.94,1.3,2.24,132449,2775,0,135224,61841,20774,121365,0,3956,2638,33030,5712,34824,34824,511,11840,1103,220,-85.2133,44.19387,15113
"FLAT ROCK PUBLIC LIBRARY",48134,17823,1,0,2.1,2.1,2.95,5.05,445133,8700,0,467033,194071,35640,556911,0,4585,2288,107661,3759,53910,75256,181,2403,8138,0,-83.2773,42.09458,1753893
"LEIGHTON TOWNSHIP LIBRARY",49335,4934,1,0,0.45,3.38,0.33,3.71,256465,5293,3800,280075,109031,41724,210588,0,6043,2004,29368,1674,65556,65556,214,2948,4773,2312,-85.6606,42.74352,117327
"SALEM TOWNSHIP LIBRARY",49314,7357,1,0,0,3.55,0.35,3.9,215067,6596,1838,235025,97358,27825,154704,0,19474,2145,19928,1958,55986,55986,126,2832,2247,3437,-85.8412,42.72464,117327
"CAPITAL AREA DISTRICT LIBRARY",48933,238859,1,12,39.88,39.88,95.75,135.63,10492989,267948,0,11387509,5562906,1588619,11786550,0,1191920,34534,1106498,75248,2936396,2996566,3594,67752,193074,210374,-84.5538,42.72994,292735
"DEARBORN HEIGHTS CITY LIBRARIES",48127,57774,1,1,9.5,9.5,9.88,19.38,2391437,21028,0,2468354,741897,145703,1533132,0,541894,5167,304000,16850,207843,208356,1291,18172,97639,24125,-83.2794,42.33167,1753893
"COMMERCE TOWNSHIP COMMUNITY LIBRARY",48382,40186,1,0,10.78,10.78,9,19.78,1796259,26755,0,1844348,612645,198924,1707768,0,500853,3124,151617,15157,312339,314139,833,25065,13010,18852,-83.4791,42.5913,1259201
"RAY TOWNSHIP PUBLIC LIBRARY",48096,3739,1,0,0,0.41,0.68,1.09,77122,0,0,81817,-9,7333,52632,0,73470,1558,6744,945,16439,16973,29,392,483,1778,-82.9282,42.76976,874759
"SCHULTZ-HOLMES MEMORIAL LIBRARY",49228,7272,1,0,0,1,2.43,3.43,235321,5333,0,258995,125186,29449,274115,0,0,2002,29471,3406,24929,25435,151,3157,2082,93,-83.867,41.84547,98266
"CROTON TOWNSHIP LIBRARY",49337,3228,1,0,0,1.03,0.81,1.84,63916,2111,0,113892,-9,16933,69813,0,1673,1222,6782,1412,14634,14634,97,1248,1324,213,-85.6613,43.43816,48892
"BELLEVILLE AREA DISTRICT LIBRARY",48111,42361,1,0,6.23,6.23,8.69,14.92,2145431,29368,4795,2220718,544033,114080,1045423,119181,1292524,2973,104319,11235,181992,181992,261,9730,32832,15979,-83.4911,42.20777,1753893
"LEANNA HICKS PUBLIC LIBRARY OF INKSTER",48141,25369,1,0,0.98,0.99,4.09,5.08,397932,18604,7299,494895,102835,1525,270998,0,299520,1866,9896,6942,5839,5839,130,1064,12982,0,-83.3105,42.30369,1753893
"SHERMAN TOWNSHIP LIBRARY",48893,5635,1,0,0,1,0.95,1.95,106968,3431,0,113519,-9,10762,91649,0,3635,1976,9730,1589,15763,15763,62,485,2104,2941,-84.9781,43.68878,70562
"ROMULUS PUBLIC LIBRARY",48174,39868,1,0,2.73,2.73,4.08,6.81,715350,27640,0,776334,209569,72344,569989,0,12962,2697,59041,9265,56431,58116,204,3997,21758,2542,-83.3853,42.22158,1753893
"SOUTHGATE VETERANS MEMORIAL LIBRARY",48195,30047,1,0,3,3,3.6,6.6,583951,20831,0,636073,204945,71974,553612,0,20220,2507,95710,5844,100798,100945,134,500,22338,4324,-83.2061,42.20329,1753893
"HARRISON TOWNSHIP PUBLIC LIBRARY",48045,24587,1,0,2.08,2.08,2.9,4.98,448117,16082,0,471088,176441,59164,316827,0,0,2116,38286,4326,44891,45071,233,4207,4246,0,-82.8509,42.57926,874759
"GOODLAND TOWNSHIP LIBRARY",48444,1828,1,0,0,0.75,0,0.75,66449,0,0,66899,-9,6350,47540,1267,2200,1040,924,202,972,972,24,249,40,25,-83.072,43.10521,88028
